Symbol,Company Name
AAPL,Inc.
NVDA,Corporation
MSFT,Corporation
AMZN,".com, Inc."
GOOG,Inc.
GOOGL,Inc.
META,"Platforms, Inc."
TSLA,", Inc."
AVGO,Inc.
NFLX,", Inc."
COST,Wholesale Corporation
TMUS,#NAME?
ASML,Holding N.V. - New York Registry Shares
CSCO,"Systems, Inc."
AZN,PLC
PLTR,Technologies Inc.
LIN,plc
PEP,", Inc."
ISRG,"Surgical, Inc."
AMD,"Micro Devices, Inc."
QCOM,Incorporated
ADBE,Inc.
PDD,Holdings Inc.
INTU,Inc.
TXN,Instruments Incorporated
AMGN,Inc.
BKNG,Holdings Inc. Common Stock
CMCSA,Corporation
HON,International Inc.
GILD,"Sciences, Inc."
ARM,Holdings plc
VRTX,Pharmaceuticals Incorporated
PANW,"Alto Networks, Inc."
AMAT,"Materials, Inc."
ADP,"Data Processing, Inc."
APP,Corporation
MELI,", Inc."
SBUX,Corporation
ADI,"Devices, Inc."
MU,"Technology, Inc."
INTC,Corporation
LRCX,Research Corporation
KLAC,Corporation
CRWD,"Holdings, Inc."
MSTR,Incorporated
DASH,", Inc."
MDLZ,"International, Inc."
ABNB,", Inc."
ORLY,"'Reilly Automotive, Inc."
FTNT,", Inc."
CTAS,Corporation
CDNS,"Design Systems, Inc."
CEG,Energy Corporation
SNPS,", Inc."
PYPL,"Holdings, Inc."
REGN,"Pharmaceuticals, Inc."
MAR,International
WDAY,", Inc."
ROP,"Technologies, Inc."
MRVL,"Technology, Inc."
TEAM,Corporation
CHTR,"Communications, Inc."
ADSK,", Inc."
MNST,Beverage Corporation
CSX,Corporation
AEP,"Electric Power Company, Inc."
CPRT,", Inc."
NXPI,Semiconductors N.V.
PCAR,Inc.
PAYX,", Inc."
FANG,"Energy, Inc."
KDP,Dr Pepper Inc.
BKR,Hughes Company
AXON,"Enterprise, Inc."
FAST,Company
EXC,Corporation
LULU,athletica inc.
VRSK,"Analytics, Inc."
XEL,Energy Inc.
CTSH,Technology Solutions Corporation
CCEP,#NAME?
TTWO,#NAME?
DDOG,", Inc."
GEHC,HealthCare Technologies Inc.
EA,Arts Inc.
ODFL,"Dominion Freight Line, Inc."
KHC,Kraft Heinz Company
IDXX,"Laboratories, Inc."
CSGP,"Group, Inc."
ZS,", Inc."
TTD,"Trade Desk, Inc."
DXCM,", Inc."
ANSS,", Inc."
MCHP,Technology Incorporated
WBD,"Bros. Discovery, Inc. - Series A"
CDW,Corporation
GFS,Inc.
BIIB,Inc.
ON,Semiconductor Corporation
MDB,", Inc."
ROST,"Stores, Inc."
