datetime,symbol,open,high,low,close,volume
2021-04-01 20:30:00,NASDAQ:CCEP,52.2,52.41,51.0,51.1,528500.0
2021-04-05 20:30:00,NASDAQ:CCEP,51.52,51.9,51.13,51.14,428200.0
2021-04-06 20:30:00,NASDAQ:CCEP,51.4,52.27,51.11,51.75,1503849.0
2021-04-07 20:30:00,NASDAQ:CCEP,52.02,52.24,51.56,51.78,1074102.0
2021-04-08 20:30:00,NASDAQ:CCEP,52.18,53.56,51.89,53.09,1433181.0
2021-04-09 20:30:00,NASDAQ:CCEP,53.22,54.2,53.07,53.86,940674.0
2021-04-12 20:30:00,NASDAQ:CCEP,53.82,54.84,53.62,54.61,726358.0
2021-04-13 20:30:00,NASDAQ:CCEP,54.26,54.74,54.23,54.27,699762.0
2021-04-14 20:30:00,NASDAQ:CCEP,54.87,54.87,53.58,53.6,671265.0
2021-04-15 20:30:00,NASDAQ:CCEP,54.22,54.69,53.79,54.54,536081.0
2021-04-16 20:30:00,NASDAQ:CCEP,54.98,55.06,54.38,54.95,473431.0
2021-04-19 20:30:00,NASDAQ:CCEP,55.17,55.67,54.66,55.17,487489.0
2021-04-20 20:30:00,NASDAQ:CCEP,54.87,55.425,54.48,55.17,547703.0
2021-04-21 20:30:00,NASDAQ:CCEP,55.55,56.56,55.35,56.13,966561.0
2021-04-22 20:30:00,NASDAQ:CCEP,56.24,56.74,55.94,56.14,817629.0
2021-04-23 20:30:00,NASDAQ:CCEP,55.85,56.81,55.57,56.57,464355.0
2021-04-26 20:30:00,NASDAQ:CCEP,56.32,56.88,56.07,56.15,589098.0
2021-04-27 20:30:00,NASDAQ:CCEP,56.18,56.55,55.74,56.53,581069.0
2021-04-28 20:30:00,NASDAQ:CCEP,57.0,57.33,56.65,56.91,751982.0
2021-04-29 20:30:00,NASDAQ:CCEP,56.9,57.38,56.36,57.26,423493.0
2021-04-30 20:30:00,NASDAQ:CCEP,56.94,57.12,56.44,56.82,520607.0
2021-05-03 20:30:00,NASDAQ:CCEP,57.01,57.37,56.63,56.74,493244.0
2021-05-04 20:30:00,NASDAQ:CCEP,56.93,56.97,55.6,55.74,513359.0
2021-05-05 20:30:00,NASDAQ:CCEP,55.72,55.93,55.12,55.74,657044.0
2021-05-06 20:30:00,NASDAQ:CCEP,56.09,56.7,55.58,56.65,516120.0
2021-05-07 20:30:00,NASDAQ:CCEP,56.24,56.92,56.09,56.81,410226.0
2021-05-10 20:30:00,NASDAQ:CCEP,56.92,57.61,56.28,56.43,941093.0
2021-05-11 20:30:00,NASDAQ:CCEP,55.88,56.4,53.83,56.16,2401502.0
2021-05-12 20:30:00,NASDAQ:CCEP,56.82,58.07,56.53,57.25,1594366.0
2021-05-13 20:30:00,NASDAQ:CCEP,57.15,59.02,57.15,58.56,1197372.0
2021-05-14 20:30:00,NASDAQ:CCEP,59.5,60.54,59.22,60.27,1026618.0
2021-05-17 20:30:00,NASDAQ:CCEP,61.71,61.95,60.8,61.43,1659616.0
2021-05-18 20:30:00,NASDAQ:CCEP,61.42,61.8,60.38,60.49,1015379.0
2021-05-19 20:30:00,NASDAQ:CCEP,60.74,60.74,59.29,59.81,1377296.0
2021-05-20 20:30:00,NASDAQ:CCEP,61.1,61.585,60.2,61.37,844671.0
2021-05-21 20:30:00,NASDAQ:CCEP,61.26,61.91,61.06,61.48,1796142.0
2021-05-24 20:30:00,NASDAQ:CCEP,61.37,61.59,60.72,60.78,903935.0
2021-05-25 20:30:00,NASDAQ:CCEP,60.76,61.01,60.3,60.49,829506.0
2021-05-26 20:30:00,NASDAQ:CCEP,60.7,60.835,59.97,60.17,1206270.0
2021-05-27 20:30:00,NASDAQ:CCEP,59.8,61.08,59.63,59.96,2397266.0
2021-05-28 20:30:00,NASDAQ:CCEP,60.07,60.68,59.78,60.52,755273.0
2021-06-01 20:30:00,NASDAQ:CCEP,60.76,61.23,60.51,60.66,750048.0
2021-06-02 20:30:00,NASDAQ:CCEP,61.58,61.74,60.92,61.17,1077371.0
2021-06-03 20:30:00,NASDAQ:CCEP,60.39,61.41,60.01,61.24,773687.0
2021-06-04 20:30:00,NASDAQ:CCEP,61.61,61.995,61.48,61.8,817198.0
2021-06-07 20:30:00,NASDAQ:CCEP,61.58,62.27,61.48,61.85,2091830.0
2021-06-08 20:30:00,NASDAQ:CCEP,62.17,62.3799,61.25,61.57,804994.0
2021-06-09 20:30:00,NASDAQ:CCEP,61.39,62.29,61.38,61.75,642713.0
2021-06-10 20:30:00,NASDAQ:CCEP,61.81,62.23,61.33,61.34,849081.0
2021-06-11 20:30:00,NASDAQ:CCEP,61.54,61.98,61.07,61.97,816100.0
2021-06-14 20:30:00,NASDAQ:CCEP,61.65,61.76,61.36,61.75,539199.0
2021-06-15 20:30:00,NASDAQ:CCEP,62.1,62.68,61.93,62.28,512246.0
