datetime,symbol,open,high,low,close,volume
2021-04-01 20:30:00,NASDAQ:MU,93.0,94.38,91.25,92.41,39700637.0
2021-04-05 20:30:00,NASDAQ:MU,93.9265,94.67,92.47,93.75,19795131.0
2021-04-06 20:30:00,NASDAQ:MU,93.84,96.1018,92.66,93.49,22847008.0
2021-04-07 20:30:00,NASDAQ:MU,94.25,95.07,92.54,93.96,17621496.0
2021-04-08 20:30:00,NASDAQ:MU,95.0,96.39,93.78,95.29,17815590.0
2021-04-09 20:30:00,NASDAQ:MU,94.3448,95.38,93.31,95.3,14080213.0
2021-04-12 20:30:00,NASDAQ:MU,95.19,96.96,94.75,95.59,18818295.0
2021-04-13 20:30:00,NASDAQ:MU,96.29,96.82,91.4,92.15,27102073.0
2021-04-14 20:30:00,NASDAQ:MU,91.66,92.53,89.51,90.67,19117367.0
2021-04-15 20:30:00,NASDAQ:MU,91.75,91.96,89.445,90.27,16017043.0
2021-04-16 20:30:00,NASDAQ:MU,90.4351,91.3301,90.08,90.66,12358662.0
2021-04-19 20:30:00,NASDAQ:MU,90.665,90.68,86.52,88.41,21361565.0
2021-04-20 20:30:00,NASDAQ:MU,88.38,88.95,86.53,87.48,17396914.0
2021-04-21 20:30:00,NASDAQ:MU,87.06,89.56,86.33,89.49,14781306.0
2021-04-22 20:30:00,NASDAQ:MU,88.2,88.36,83.9,84.71,34044137.0
2021-04-23 20:30:00,NASDAQ:MU,85.24,86.46,84.565,86.03,18168500.0
2021-04-26 20:30:00,NASDAQ:MU,86.47,88.3,86.11,87.84,14757740.0
2021-04-27 20:30:00,NASDAQ:MU,89.33,90.19,88.03,89.46,17680981.0
2021-04-28 20:30:00,NASDAQ:MU,87.6635,87.76,85.35,86.03,19433542.0
2021-04-29 20:30:00,NASDAQ:MU,87.72,88.09,85.55,88.06,16463338.0
2021-04-30 20:30:00,NASDAQ:MU,86.9335,88.4799,85.56,86.07,14548113.0
2021-05-03 20:30:00,NASDAQ:MU,86.97,87.0102,83.87,85.02,16300447.0
2021-05-04 20:30:00,NASDAQ:MU,84.14,85.44,82.03,84.41,17850528.0
2021-05-05 20:30:00,NASDAQ:MU,85.49,85.95,84.03,85.15,13172100.0
2021-05-06 20:30:00,NASDAQ:MU,84.865,85.12,83.28,84.8,13716894.0
2021-05-07 20:30:00,NASDAQ:MU,85.91,86.32,84.99,85.98,12746073.0
2021-05-10 20:30:00,NASDAQ:MU,84.95,85.0,80.8001,80.85,24862898.0
2021-05-11 20:30:00,NASDAQ:MU,77.27,80.76,76.82,80.68,23227830.0
2021-05-12 20:30:00,NASDAQ:MU,79.14,79.97,76.41,76.8,23472579.0
2021-05-13 20:30:00,NASDAQ:MU,77.97,78.865,76.53,77.19,20153780.0
2021-05-14 20:30:00,NASDAQ:MU,78.79,80.145,77.08,79.7,18241100.0
2021-05-17 20:30:00,NASDAQ:MU,79.095,80.42,77.72,80.39,15011513.0
2021-05-18 20:30:00,NASDAQ:MU,80.55,80.92,78.8,78.88,20893773.0
2021-05-19 20:30:00,NASDAQ:MU,77.212,80.27,76.16,79.93,27299968.0
2021-05-20 20:30:00,NASDAQ:MU,80.5,81.49,79.52,81.13,17123032.0
2021-05-21 20:30:00,NASDAQ:MU,81.77,81.99,80.37,80.72,13076931.0
2021-05-24 20:30:00,NASDAQ:MU,81.4175,83.62,81.3605,82.9,15730440.0
2021-05-25 20:30:00,NASDAQ:MU,83.565,83.71,79.71,81.23,26272100.0
2021-05-26 20:30:00,NASDAQ:MU,81.585,82.44,81.02,82.24,12609782.0
2021-05-27 20:30:00,NASDAQ:MU,82.46,84.75,82.33,83.93,22286477.0
2021-05-28 20:30:00,NASDAQ:MU,84.22,84.725,83.22,84.14,11330310.0
2021-06-01 20:30:00,NASDAQ:MU,84.92,85.755,83.62,84.15,11067180.0
2021-06-02 20:30:00,NASDAQ:MU,84.39,84.82,83.45,84.34,10314162.0
2021-06-03 20:30:00,NASDAQ:MU,83.68,84.07,81.89,82.03,14742130.0
2021-06-04 20:30:00,NASDAQ:MU,82.97,84.37,82.85,83.76,12591138.0
2021-06-07 20:30:00,NASDAQ:MU,83.19,84.23,82.65,84.04,9006393.0
2021-06-08 20:30:00,NASDAQ:MU,84.97,84.975,80.01,80.53,29666509.0
2021-06-09 20:30:00,NASDAQ:MU,80.17,80.56,78.52,78.66,21434898.0
2021-06-10 20:30:00,NASDAQ:MU,79.4,80.84,78.525,79.28,22683299.0
2021-06-11 20:30:00,NASDAQ:MU,80.07,80.76,79.21,79.34,12675698.0
2021-06-14 20:30:00,NASDAQ:MU,79.5,80.94,79.3683,80.49,14302957.0
2021-06-15 20:30:00,NASDAQ:MU,80.64,82.91,79.92,82.18,22308634.0
2021-06-16 20:30:00,NASDAQ:MU,82.73,83.11,80.1201,80.49,18116431.0
2021-06-17 20:30:00,NASDAQ:MU,79.7,81.44,79.365,80.64,16003884.0
2021-06-18 20:30:00,NASDAQ:MU,78.9,79.2835,76.13,76.95,39881533.0
2021-06-21 20:30:00,NASDAQ:MU,76.85,77.29,75.71,77.07,19810069.0
2021-06-22 20:30:00,NASDAQ:MU,77.61,78.28,77.045,77.66,16771830.0
2021-06-23 20:30:00,NASDAQ:MU,78.1,79.87,78.07,79.02,16662234.0
2021-06-24 20:30:00,NASDAQ:MU,80.43,80.8986,79.92,80.58,15720992.0
2021-06-25 20:30:00,NASDAQ:MU,81.57,82.84,81.09,82.03,19603797.0
2021-06-28 20:30:00,NASDAQ:MU,82.63,83.6,82.16,83.38,18365547.0
2021-06-29 20:30:00,NASDAQ:MU,83.54,83.84,81.87,82.93,18530826.0
2021-06-30 20:30:00,NASDAQ:MU,84.85,85.4,83.43,84.98,40670774.0
2021-07-01 20:30:00,NASDAQ:MU,82.24,82.25,79.91,80.11,53298989.0
2021-07-02 20:30:00,NASDAQ:MU,80.61,80.8899,78.89,80.33,22711217.0
2021-07-06 20:30:00,NASDAQ:MU,80.79,81.5398,79.76,81.08,21126480.0
2021-07-07 20:30:00,NASDAQ:MU,81.69,81.81,77.95,78.22,23026891.0
2021-07-08 20:30:00,NASDAQ:MU,76.25,77.875,75.961,77.11,23114480.0
2021-07-09 20:30:00,NASDAQ:MU,77.41,78.9499,76.73,78.74,15441108.0
