datetime,symbol,open,high,low,close,volume
2021-04-01 20:30:00,NASDAQ:ROST,121.35,121.65,119.5,120.51,1370938.0
2021-04-05 20:30:00,NASDAQ:ROST,121.85,123.08,120.48,122.98,1265179.0
2021-04-06 20:30:00,NASDAQ:ROST,122.73,124.24,122.2,123.5,1553060.0
2021-04-07 20:30:00,NASDAQ:ROST,123.33,124.36,122.53,123.41,1746967.0
2021-04-08 20:30:00,NASDAQ:ROST,124.14,127.64,122.58,127.45,2335483.0
2021-04-09 20:30:00,NASDAQ:ROST,127.24,128.57,126.17,128.22,1214872.0
2021-04-12 20:30:00,NASDAQ:ROST,128.19,128.475,126.63,128.0,1258391.0
2021-04-13 20:30:00,NASDAQ:ROST,127.98,127.98,124.8,126.39,1507960.0
2021-04-14 20:30:00,NASDAQ:ROST,126.7,127.63,125.87,126.87,2262934.0
2021-04-15 20:30:00,NASDAQ:ROST,128.16,129.64,127.84,129.07,1885860.0
2021-04-16 20:30:00,NASDAQ:ROST,129.51,130.08,129.215,129.91,1676077.0
2021-04-19 20:30:00,NASDAQ:ROST,129.5,130.0,127.205,127.49,1309498.0
2021-04-20 20:30:00,NASDAQ:ROST,126.73,126.73,123.64,124.96,1723300.0
2021-04-21 20:30:00,NASDAQ:ROST,125.15,127.77,124.5,127.37,1242414.0
2021-04-22 20:30:00,NASDAQ:ROST,127.38,129.48,127.14,127.84,1144766.0
2021-04-23 20:30:00,NASDAQ:ROST,127.95,129.45,127.13,128.82,966719.0
2021-04-26 20:30:00,NASDAQ:ROST,128.6,129.03,126.45,127.19,1107869.0
2021-04-27 20:30:00,NASDAQ:ROST,127.17,129.72,126.87,129.17,1523844.0
2021-04-28 20:30:00,NASDAQ:ROST,128.56,129.59,128.005,128.52,1040425.0
2021-04-29 20:30:00,NASDAQ:ROST,129.06,131.27,128.815,131.18,1220909.0
2021-04-30 20:30:00,NASDAQ:ROST,131.41,132.8,130.13,130.94,1253140.0
2021-05-03 20:30:00,NASDAQ:ROST,131.31,133.17,130.92,132.13,1182285.0
2021-05-04 20:30:00,NASDAQ:ROST,131.15,132.05,129.99,131.99,1833930.0
2021-05-05 20:30:00,NASDAQ:ROST,132.2,132.98,128.36,128.72,2196591.0
2021-05-06 20:30:00,NASDAQ:ROST,129.25,129.8,127.71,129.06,1643544.0
2021-05-07 20:30:00,NASDAQ:ROST,128.56,133.32,128.37,132.96,1438130.0
2021-05-10 20:30:00,NASDAQ:ROST,133.6,134.215,130.87,130.96,1227687.0
2021-05-11 20:30:00,NASDAQ:ROST,130.18,130.18,126.34,129.12,1415935.0
2021-05-12 20:30:00,NASDAQ:ROST,127.73,128.43,123.51,124.09,1970316.0
2021-05-13 20:30:00,NASDAQ:ROST,124.88,127.18,124.0,125.74,1295777.0
2021-05-14 20:30:00,NASDAQ:ROST,126.66,131.23,126.3,130.5,1493595.0
2021-05-17 20:30:00,NASDAQ:ROST,129.15,129.75,127.55,128.42,2486137.0
2021-05-18 20:30:00,NASDAQ:ROST,128.59,129.14,124.165,124.81,3589697.0
2021-05-19 20:30:00,NASDAQ:ROST,123.12,125.52,120.49,125.14,3946359.0
2021-05-20 20:30:00,NASDAQ:ROST,124.63,125.916,121.62,122.48,3755889.0
2021-05-21 20:30:00,NASDAQ:ROST,124.736,125.72,121.79,123.25,3685112.0
2021-05-24 20:30:00,NASDAQ:ROST,123.9,124.59,122.99,123.51,2493538.0
2021-05-25 20:30:00,NASDAQ:ROST,124.54,124.54,122.27,123.87,2676028.0
2021-05-26 20:30:00,NASDAQ:ROST,124.3,126.24,124.01,126.14,1915732.0
2021-05-27 20:30:00,NASDAQ:ROST,126.04,126.28,124.02,125.66,4549613.0
2021-05-28 20:30:00,NASDAQ:ROST,126.955,127.19,124.74,126.39,2044946.0
2021-06-01 20:30:00,NASDAQ:ROST,126.03,127.13,122.47,122.97,1982635.0
2021-06-02 20:30:00,NASDAQ:ROST,122.79,123.1,120.635,120.99,2091485.0
2021-06-03 20:30:00,NASDAQ:ROST,119.99,120.87,117.83,119.48,2381602.0
2021-06-04 20:30:00,NASDAQ:ROST,120.43,120.75,118.17,119.47,2069328.0
2021-06-07 20:30:00,NASDAQ:ROST,119.06,119.72,118.085,119.22,2078613.0
2021-06-08 20:30:00,NASDAQ:ROST,120.37,121.1,119.72,120.27,1798973.0
2021-06-09 20:30:00,NASDAQ:ROST,120.88,120.92,119.26,120.09,1735564.0
2021-06-10 20:30:00,NASDAQ:ROST,119.47,120.08,117.43,117.97,4707551.0
2021-06-11 20:30:00,NASDAQ:ROST,119.15,120.09,118.2683,120.08,3456387.0
2021-06-14 20:30:00,NASDAQ:ROST,120.17,121.05,118.34,119.22,1856201.0
2021-06-15 20:30:00,NASDAQ:ROST,119.38,119.82,117.83,118.73,2117948.0
2021-06-16 20:30:00,NASDAQ:ROST,119.12,119.58,117.69,118.98,2415064.0
2021-06-17 20:30:00,NASDAQ:ROST,119.06,119.31,116.59,118.23,3734439.0
2021-06-18 20:30:00,NASDAQ:ROST,116.72,117.11,114.56,115.26,4148484.0
2021-06-21 20:30:00,NASDAQ:ROST,115.98,119.49,115.98,119.41,2264453.0
2021-06-22 20:30:00,NASDAQ:ROST,119.29,120.89,118.54,120.4,1571492.0
2021-06-23 20:30:00,NASDAQ:ROST,120.0,121.56,119.65,120.88,1291490.0
2021-06-24 20:30:00,NASDAQ:ROST,122.01,123.43,121.51,123.17,1652611.0
2021-06-25 20:30:00,NASDAQ:ROST,124.09,125.05,123.07,123.57,3143685.0
2021-06-28 20:30:00,NASDAQ:ROST,123.46,123.46,121.09,121.78,1271051.0
2021-06-29 20:30:00,NASDAQ:ROST,122.2,122.84,121.79,122.16,1249887.0
2021-06-30 20:30:00,NASDAQ:ROST,122.45,124.43,122.06,124.0,1792485.0
2021-07-01 20:30:00,NASDAQ:ROST,124.0,125.355,124.0,124.99,1499341.0
2021-07-02 20:30:00,NASDAQ:ROST,125.13,126.52,124.82,126.25,1220379.0
2021-07-06 20:30:00,NASDAQ:ROST,126.63,126.76,124.61,126.52,2446240.0
2021-07-07 20:30:00,NASDAQ:ROST,127.05,127.58,123.54,124.09,1581564.0
2021-07-08 20:30:00,NASDAQ:ROST,123.31,123.31,120.1625,121.67,1643303.0
2021-07-09 20:30:00,NASDAQ:ROST,122.61,124.82,122.61,124.77,1412775.0
2021-07-12 20:30:00,NASDAQ:ROST,123.93,124.63,123.24,124.1,1079158.0
2021-07-13 20:30:00,NASDAQ:ROST,123.96,124.3,122.47,122.67,1177209.0
2021-07-14 20:30:00,NASDAQ:ROST,123.42,125.51,123.245,124.89,1290481.0
2021-07-15 20:30:00,NASDAQ:ROST,123.32,124.25,122.69,123.7,1486341.0
2021-07-16 20:30:00,NASDAQ:ROST,124.08,124.53,119.295,119.49,2197722.0
2021-07-19 20:30:00,NASDAQ:ROST,117.58,117.86,114.39,115.54,2106407.0
2021-07-20 20:30:00,NASDAQ:ROST,115.64,119.325,114.49,118.59,1984572.0
2021-07-21 20:30:00,NASDAQ:ROST,118.96,121.87,118.96,121.65,1830510.0
2021-07-22 20:30:00,NASDAQ:ROST,121.71,121.74,120.35,121.2,1025603.0
2021-07-23 20:30:00,NASDAQ:ROST,122.05,122.62,120.98,121.68,962107.0
2021-07-26 20:30:00,NASDAQ:ROST,121.53,122.45,120.53,122.39,1195764.0
2021-07-27 20:30:00,NASDAQ:ROST,122.35,123.26,120.87,121.63,2150453.0
2021-07-28 20:30:00,NASDAQ:ROST,121.6,122.54,120.76,121.18,1123090.0
2021-07-29 20:30:00,NASDAQ:ROST,121.3517,123.96,121.3517,122.58,1165962.0
