datetime,symbol,open,high,low,close,volume
2021-04-01 20:30:00,NASDAQ:TTWO,177.73,180.43,177.68,180.15,1211557.0
2021-04-05 20:30:00,NASDAQ:TTWO,180.59,184.335,178.77,183.38,1330146.0
2021-04-06 20:30:00,NASDAQ:TTWO,183.31,185.29,182.78,184.0,1198113.0
2021-04-07 20:30:00,NASDAQ:TTWO,184.08,185.06,182.505,183.65,875812.0
2021-04-08 20:30:00,NASDAQ:TTWO,185.76,186.21,182.13,183.6,1020362.0
2021-04-09 20:30:00,NASDAQ:TTWO,183.57,184.48,180.55,184.02,850926.0
2021-04-12 20:30:00,NASDAQ:TTWO,182.35,182.95,180.696,182.76,861751.0
2021-04-13 20:30:00,NASDAQ:TTWO,184.37,185.63,181.64,182.66,1041895.0
2021-04-14 20:30:00,NASDAQ:TTWO,183.63,184.825,180.79,181.44,841181.0
2021-04-15 20:30:00,NASDAQ:TTWO,181.11,183.21,180.495,182.5,857062.0
2021-04-16 20:30:00,NASDAQ:TTWO,182.75,182.75,177.67,178.8,1137547.0
2021-04-19 20:30:00,NASDAQ:TTWO,178.25,179.514,176.11,177.91,873775.0
2021-04-20 20:30:00,NASDAQ:TTWO,178.57,178.57,175.9,177.9,865161.0
2021-04-21 20:30:00,NASDAQ:TTWO,176.61,177.175,174.05,176.45,1269380.0
2021-04-22 20:30:00,NASDAQ:TTWO,176.37,179.695,176.37,178.38,993209.0
2021-04-23 20:30:00,NASDAQ:TTWO,178.35,179.46,174.76,176.19,1125183.0
2021-04-26 20:30:00,NASDAQ:TTWO,175.48,177.49,174.63,176.43,759640.0
2021-04-27 20:30:00,NASDAQ:TTWO,176.81,177.3575,173.38,174.28,1067646.0
2021-04-28 20:30:00,NASDAQ:TTWO,175.78,176.12,173.32,174.38,1150404.0
2021-04-29 20:30:00,NASDAQ:TTWO,175.3,176.79,174.11,176.47,940255.0
2021-04-30 20:30:00,NASDAQ:TTWO,174.53,176.44,174.11,175.38,672135.0
2021-05-03 20:30:00,NASDAQ:TTWO,175.3,176.29,169.9094,170.3,1198491.0
2021-05-04 20:30:00,NASDAQ:TTWO,168.35,169.325,164.21,167.53,1469783.0
2021-05-05 20:30:00,NASDAQ:TTWO,168.2,171.32,167.0,167.47,1084096.0
2021-05-06 20:30:00,NASDAQ:TTWO,166.74,168.98,166.1,168.64,1081253.0
2021-05-07 20:30:00,NASDAQ:TTWO,170.23,171.49,169.09,170.07,822267.0
2021-05-10 20:30:00,NASDAQ:TTWO,169.46,171.43,166.92,169.02,1274644.0
2021-05-11 20:30:00,NASDAQ:TTWO,166.47,169.2499,166.47,167.99,1176377.0
2021-05-12 20:30:00,NASDAQ:TTWO,166.58,167.48,162.35,164.26,1038645.0
2021-05-13 20:30:00,NASDAQ:TTWO,164.08,165.485,161.7,162.74,813081.0
2021-05-14 20:30:00,NASDAQ:TTWO,164.8,167.41,163.53,166.99,1523988.0
2021-05-17 20:30:00,NASDAQ:TTWO,166.12,169.05,165.67,168.22,1289661.0
2021-05-18 20:30:00,NASDAQ:TTWO,168.67,171.42,166.72,167.69,3686989.0
2021-05-19 20:30:00,NASDAQ:TTWO,171.0,179.9,170.79,179.35,4221579.0
2021-05-20 20:30:00,NASDAQ:TTWO,179.95,188.34,179.6,185.08,2254070.0
2021-05-21 20:30:00,NASDAQ:TTWO,185.84,187.48,184.17,184.36,1365405.0
2021-05-24 20:30:00,NASDAQ:TTWO,184.36,186.8,184.2501,185.02,1015062.0
2021-05-25 20:30:00,NASDAQ:TTWO,186.0,186.33,183.55,184.62,807517.0
2021-05-26 20:30:00,NASDAQ:TTWO,185.48,188.36,184.6,185.67,816901.0
2021-05-27 20:30:00,NASDAQ:TTWO,184.75,187.16,183.5801,186.48,1549801.0
2021-05-28 20:30:00,NASDAQ:TTWO,186.28,187.68,185.29,185.56,753561.0
2021-06-01 20:30:00,NASDAQ:TTWO,186.83,187.24,182.53,182.76,1127781.0
2021-06-02 20:30:00,NASDAQ:TTWO,181.06,182.51,176.0374,176.91,1732638.0
2021-06-03 20:30:00,NASDAQ:TTWO,178.51,179.86,176.53,177.73,1268286.0
2021-06-04 20:30:00,NASDAQ:TTWO,178.54,184.94,178.11,184.45,1321700.0
2021-06-07 20:30:00,NASDAQ:TTWO,183.3795,185.43,183.3795,184.26,1396810.0
2021-06-08 20:30:00,NASDAQ:TTWO,184.93,186.585,184.37,184.83,891936.0
2021-06-09 20:30:00,NASDAQ:TTWO,184.94,186.65,182.9,183.59,942593.0
2021-06-10 20:30:00,NASDAQ:TTWO,183.41,185.42,182.61,184.97,913939.0
2021-06-11 20:30:00,NASDAQ:TTWO,184.77,186.64,183.938,186.42,660886.0
2021-06-14 20:30:00,NASDAQ:TTWO,186.5,187.9,185.455,186.75,853698.0
2021-06-15 20:30:00,NASDAQ:TTWO,186.345,186.41,178.0401,178.6,1498071.0
2021-06-16 20:30:00,NASDAQ:TTWO,177.0,177.53,168.96,171.65,3117682.0
2021-06-17 20:30:00,NASDAQ:TTWO,170.805,173.4377,169.93,170.5,1400874.0
2021-06-18 20:30:00,NASDAQ:TTWO,170.85,172.0,168.68,171.28,1601753.0
2021-06-21 20:30:00,NASDAQ:TTWO,171.85,174.32,169.44,173.47,1290175.0
2021-06-22 20:30:00,NASDAQ:TTWO,173.73,175.25,172.93,174.23,1083104.0
2021-06-23 20:30:00,NASDAQ:TTWO,173.79,173.87,170.134,171.88,1300493.0
2021-06-24 20:30:00,NASDAQ:TTWO,174.27,175.98,173.7,175.06,1375150.0
2021-06-25 20:30:00,NASDAQ:TTWO,175.49,176.1,173.39,173.82,3315251.0
2021-06-28 20:30:00,NASDAQ:TTWO,175.26,178.95,174.97,178.09,1525386.0
2021-06-29 20:30:00,NASDAQ:TTWO,178.01,179.045,176.16,178.1,818138.0
2021-06-30 20:30:00,NASDAQ:TTWO,177.8,178.78,176.35,177.02,1013691.0
2021-07-01 20:30:00,NASDAQ:TTWO,177.53,179.84,176.61,178.97,1052514.0
2021-07-02 20:30:00,NASDAQ:TTWO,180.3,180.97,176.03,177.3,737802.0
2021-07-06 20:30:00,NASDAQ:TTWO,177.4,177.84,171.63,174.07,1176441.0
2021-07-07 20:30:00,NASDAQ:TTWO,174.37,175.06,172.64,173.69,712891.0
2021-07-08 20:30:00,NASDAQ:TTWO,171.4,171.83,170.08,170.67,940525.0
2021-07-09 20:30:00,NASDAQ:TTWO,170.67,171.17,169.18,170.37,917430.0
2021-07-12 20:30:00,NASDAQ:TTWO,172.37,173.48,171.48,172.1,875346.0
2021-07-13 20:30:00,NASDAQ:TTWO,172.58,175.25,172.085,173.55,1207447.0
2021-07-14 20:30:00,NASDAQ:TTWO,173.87,174.5515,170.02,171.88,692674.0
2021-07-15 20:30:00,NASDAQ:TTWO,171.66,171.72,167.06,168.24,1030574.0
2021-07-16 20:30:00,NASDAQ:TTWO,168.26,170.9,168.26,170.52,899836.0
2021-07-19 20:30:00,NASDAQ:TTWO,169.94,172.23,166.61,168.96,2109719.0
