datetime,symbol,open,high,low,close,volume
2023-01-03 21:30:00,NASDAQ:DDOG,75.195,76.6,70.45,72.09,3551008.0
2023-01-04 21:30:00,NASDAQ:DDOG,72.12,72.6,67.82,68.96,5188145.0
2023-01-05 21:30:00,NASDAQ:DDOG,67.8,68.01,63.39,63.5,7975680.0
2023-01-06 21:30:00,NASDAQ:DDOG,63.16,64.665,61.34,64.14,5094654.0
2023-01-09 21:30:00,NASDAQ:DDOG,65.8,67.83,64.89,65.94,4237765.0
2023-01-10 21:30:00,NASDAQ:DDOG,65.22,66.88,63.56,66.77,3654020.0
2023-01-11 21:30:00,NASDAQ:DDOG,67.2,69.28,66.14,69.03,3865469.0
2023-01-12 21:30:00,NASDAQ:DDOG,69.79,69.79,65.84,69.21,4390760.0
2023-01-13 21:30:00,NASDAQ:DDOG,67.75,70.65,67.43,70.47,2929244.0
2023-01-17 21:30:00,NASDAQ:DDOG,70.19,73.73,68.8,73.06,3851239.0
2023-01-18 21:30:00,NASDAQ:DDOG,74.46,74.79,69.62,69.7,3478850.0
2023-01-19 21:30:00,NASDAQ:DDOG,69.23,70.02,66.85,67.43,3626713.0
2023-01-20 21:30:00,NASDAQ:DDOG,68.23,71.1359,67.81,71.05,3420367.0
2023-01-23 21:30:00,NASDAQ:DDOG,71.38,75.51,70.265,75.29,4425755.0
2023-01-24 21:30:00,NASDAQ:DDOG,74.45,76.43,73.29,73.69,4761423.0
2023-01-25 21:30:00,NASDAQ:DDOG,69.36,71.72,65.6049,70.75,10284583.0
2023-01-26 21:30:00,NASDAQ:DDOG,73.17,76.04,71.77,76.0,6877507.0
2023-01-27 21:30:00,NASDAQ:DDOG,73.58,78.63,73.56,77.23,7447451.0
2023-01-30 21:30:00,NASDAQ:DDOG,75.43,76.1846,72.79,73.84,4407773.0
2023-01-31 21:30:00,NASDAQ:DDOG,73.97,74.9,72.815,74.81,3198953.0
2023-02-01 21:30:00,NASDAQ:DDOG,76.16,82.73,75.545,82.7,7960221.0
2023-02-02 21:30:00,NASDAQ:DDOG,86.69,88.845,85.46,86.97,7919808.0
2023-02-03 21:30:00,NASDAQ:DDOG,81.01,84.44,79.43,79.46,7041150.0
2023-02-06 21:30:00,NASDAQ:DDOG,76.77,79.595,76.51,76.96,4236215.0
2023-02-07 21:30:00,NASDAQ:DDOG,77.28,80.77,75.54,80.32,4427260.0
2023-02-08 21:30:00,NASDAQ:DDOG,81.52,84.3299,81.1,82.66,5737231.0
2023-02-09 21:30:00,NASDAQ:DDOG,84.6,85.3793,82.57,83.4,5254627.0
2023-02-10 21:30:00,NASDAQ:DDOG,81.09,81.9,78.88,80.52,4322546.0
2023-02-13 21:30:00,NASDAQ:DDOG,81.25,84.02,79.885,82.24,5301289.0
2023-02-14 21:30:00,NASDAQ:DDOG,81.0,86.465,80.51,85.48,4918924.0
2023-02-15 21:30:00,NASDAQ:DDOG,86.57,90.01,86.2875,88.72,8780756.0
2023-02-16 21:30:00,NASDAQ:DDOG,80.92,89.51,80.62,82.47,15005221.0
2023-02-17 21:30:00,NASDAQ:DDOG,82.32,82.6799,79.0,79.99,5964603.0
2023-02-21 21:30:00,NASDAQ:DDOG,77.4801,79.58,77.3,78.52,4109803.0
2023-02-22 21:30:00,NASDAQ:DDOG,79.23,80.89,78.34,79.96,3392801.0
2023-02-23 21:30:00,NASDAQ:DDOG,81.17,81.5,77.2,78.7,3277509.0
2023-02-24 21:30:00,NASDAQ:DDOG,75.5901,77.245,75.31,76.67,3667777.0
2023-02-27 21:30:00,NASDAQ:DDOG,77.75,78.8,76.59,77.6,3210697.0
2023-02-28 21:30:00,NASDAQ:DDOG,77.59,78.01,76.17,76.52,3640613.0
2023-03-01 21:30:00,NASDAQ:DDOG,76.84,77.3,74.79,75.22,2880337.0
2023-03-02 21:30:00,NASDAQ:DDOG,72.995,75.07,72.89,74.1,5386075.0
2023-03-03 21:30:00,NASDAQ:DDOG,74.28,77.34,74.28,76.98,4688968.0
2023-03-06 21:30:00,NASDAQ:DDOG,77.41,78.18,76.39,76.58,3680409.0
2023-03-07 21:30:00,NASDAQ:DDOG,76.58,77.39,74.37,74.82,3325962.0
2023-03-08 21:30:00,NASDAQ:DDOG,74.54,75.22,70.99,71.98,7343812.0
2023-03-09 21:30:00,NASDAQ:DDOG,71.03,74.52,69.86,69.91,5495631.0
2023-03-10 21:30:00,NASDAQ:DDOG,69.25,69.9,63.93,65.14,12585607.0
2023-03-13 20:30:00,NASDAQ:DDOG,65.24,67.57,62.99,66.24,7981254.0
2023-03-14 20:30:00,NASDAQ:DDOG,67.57,68.35,64.5,65.96,6523984.0
2023-03-15 20:30:00,NASDAQ:DDOG,65.23,68.22,64.52,67.54,8149756.0
2023-03-16 20:30:00,NASDAQ:DDOG,67.92,69.75,67.22,69.21,5680697.0
2023-03-17 20:30:00,NASDAQ:DDOG,69.21,69.96,67.85,68.62,4744615.0
2023-03-20 20:30:00,NASDAQ:DDOG,67.63,67.69,64.745,66.21,7059544.0
2023-03-21 20:30:00,NASDAQ:DDOG,67.17,69.96,67.01,69.67,4167927.0
2023-03-22 20:30:00,NASDAQ:DDOG,69.82,70.02,66.13,66.19,4435031.0
2023-03-23 20:30:00,NASDAQ:DDOG,68.08,69.545,66.4279,67.44,3668808.0
2023-03-24 20:30:00,NASDAQ:DDOG,67.0,67.25,63.54,65.24,6147964.0
2023-03-27 20:30:00,NASDAQ:DDOG,65.745,67.1999,65.34,65.6,3825247.0
2023-03-28 20:30:00,NASDAQ:DDOG,65.6,67.89,65.34,67.73,4521120.0
2023-03-29 20:30:00,NASDAQ:DDOG,68.9799,69.0,66.96,68.1,3515490.0
2023-03-30 20:30:00,NASDAQ:DDOG,68.98,69.7799,67.57,67.91,2945716.0
2023-03-31 20:30:00,NASDAQ:DDOG,68.24,73.3,68.2001,72.66,6681513.0
2023-04-03 20:30:00,NASDAQ:DDOG,71.615,72.16,69.8792,70.67,3624600.0
2023-04-04 20:30:00,NASDAQ:DDOG,70.7,71.29,68.88,69.32,3737474.0
