datetime,symbol,open,high,low,close,volume
2023-01-03 21:30:00,NASDAQ:KDP,35.65,35.71,35.15,35.55,6040460.0
2023-01-04 21:30:00,NASDAQ:KDP,35.83,35.87,35.33,35.84,6617447.0
2023-01-05 21:30:00,NASDAQ:KDP,35.35,35.54,35.22,35.29,7552322.0
2023-01-06 21:30:00,NASDAQ:KDP,35.56,36.39,35.475,36.26,8038626.0
2023-01-09 21:30:00,NASDAQ:KDP,36.18,36.56,36.005,36.03,4344136.0
2023-01-10 21:30:00,NASDAQ:KDP,36.0,36.17,35.495,35.69,4133863.0
2023-01-11 21:30:00,NASDAQ:KDP,35.94,35.98,35.525,35.77,7269676.0
2023-01-12 21:30:00,NASDAQ:KDP,35.64,35.75,35.29,35.57,5248640.0
2023-01-13 21:30:00,NASDAQ:KDP,35.52,35.72,35.35,35.69,5821170.0
2023-01-17 21:30:00,NASDAQ:KDP,35.87,36.09,35.645,35.73,7441891.0
2023-01-18 21:30:00,NASDAQ:KDP,35.74,35.78,34.83,34.93,6287013.0
2023-01-19 21:30:00,NASDAQ:KDP,34.85,34.92,34.345,34.36,11358309.0
2023-01-20 21:30:00,NASDAQ:KDP,34.28,34.77,34.195,34.71,7148836.0
2023-01-23 21:30:00,NASDAQ:KDP,34.7,34.95,34.535,34.69,4860779.0
2023-01-24 21:30:00,NASDAQ:KDP,34.69,35.02,34.305,34.98,7954683.0
2023-01-25 21:30:00,NASDAQ:KDP,34.91,34.99,34.595,34.96,4943574.0
2023-01-26 21:30:00,NASDAQ:KDP,34.91,35.04,34.655,34.93,5555010.0
2023-01-27 21:30:00,NASDAQ:KDP,34.85,34.89,34.5307,34.7,6367169.0
2023-01-30 21:30:00,NASDAQ:KDP,34.695,35.16,34.56,34.72,4571362.0
2023-01-31 21:30:00,NASDAQ:KDP,35.07,35.3,34.76,35.28,5887739.0
2023-02-01 21:30:00,NASDAQ:KDP,35.2,35.6,34.94,35.34,4645689.0
2023-02-02 21:30:00,NASDAQ:KDP,35.2,35.3,34.84,35.21,6256608.0
2023-02-03 21:30:00,NASDAQ:KDP,35.25,35.32,34.51,35.15,7050795.0
2023-02-06 21:30:00,NASDAQ:KDP,35.14,35.3,34.97,35.22,6003292.0
2023-02-07 21:30:00,NASDAQ:KDP,34.98,35.26,34.72,35.2,5858565.0
2023-02-08 21:30:00,NASDAQ:KDP,35.12,35.21,34.8,34.87,4687383.0
2023-02-09 21:30:00,NASDAQ:KDP,35.19,35.34,34.835,34.87,5883948.0
2023-02-10 21:30:00,NASDAQ:KDP,35.04,35.345,34.7,35.28,9337418.0
2023-02-13 21:30:00,NASDAQ:KDP,35.34,35.66,35.23,35.66,4040177.0
2023-02-14 21:30:00,NASDAQ:KDP,35.6,35.6421,35.16,35.39,8663590.0
2023-02-15 21:30:00,NASDAQ:KDP,35.34,35.74,35.24,35.7,6004962.0
2023-02-16 21:30:00,NASDAQ:KDP,35.69,36.01,35.37,35.9,8732963.0
2023-02-17 21:30:00,NASDAQ:KDP,35.9,35.95,35.5566,35.67,7953308.0
2023-02-21 21:30:00,NASDAQ:KDP,35.62,35.69,35.13,35.55,7087711.0
2023-02-22 21:30:00,NASDAQ:KDP,35.66,36.045,35.66,35.78,8021285.0
2023-02-23 21:30:00,NASDAQ:KDP,35.78,36.23,35.16,36.11,6437948.0
2023-02-24 21:30:00,NASDAQ:KDP,35.9,35.92,35.45,35.79,5762119.0
2023-02-27 21:30:00,NASDAQ:KDP,35.88,35.915,35.265,35.37,12114864.0
2023-02-28 21:30:00,NASDAQ:KDP,34.42,34.85,34.35,34.55,21571364.0
2023-03-01 21:30:00,NASDAQ:KDP,34.415,34.415,34.01,34.19,8861745.0
2023-03-02 21:30:00,NASDAQ:KDP,34.47,34.65,34.2,34.58,8231275.0
2023-03-03 21:30:00,NASDAQ:KDP,34.56,34.68,34.28,34.55,8223990.0
2023-03-06 21:30:00,NASDAQ:KDP,34.54,34.94,34.44,34.82,6975891.0
2023-03-07 21:30:00,NASDAQ:KDP,34.83,35.015,34.54,34.83,6903581.0
2023-03-08 21:30:00,NASDAQ:KDP,34.81,35.09,34.615,34.78,6891458.0
2023-03-09 21:30:00,NASDAQ:KDP,34.89,35.0899,34.505,34.56,6029613.0
2023-03-10 21:30:00,NASDAQ:KDP,34.65,34.73,34.08,34.32,6530141.0
2023-03-13 20:30:00,NASDAQ:KDP,34.39,34.9,34.23,34.25,7907402.0
2023-03-14 20:30:00,NASDAQ:KDP,34.35,34.66,34.24,34.63,6526333.0
2023-03-15 20:30:00,NASDAQ:KDP,34.53,34.985,34.41,34.92,8896762.0
2023-03-16 20:30:00,NASDAQ:KDP,34.865,35.22,34.79,35.1,8904820.0
2023-03-17 20:30:00,NASDAQ:KDP,35.03,35.28,34.8,34.86,15595178.0
2023-03-20 20:30:00,NASDAQ:KDP,35.28,35.28,34.875,35.22,8142224.0
2023-03-21 20:30:00,NASDAQ:KDP,35.27,35.34,34.9,35.15,12071076.0
2023-03-22 20:30:00,NASDAQ:KDP,35.06,35.35,34.63,34.67,9456673.0
2023-03-23 20:30:00,NASDAQ:KDP,34.55,34.68,34.055,34.11,11424342.0
2023-03-24 20:30:00,NASDAQ:KDP,34.27,34.95,34.16,34.87,8625153.0
2023-03-27 20:30:00,NASDAQ:KDP,35.0,35.405,34.99,35.1,9291951.0
2023-03-28 20:30:00,NASDAQ:KDP,35.2,35.301,35.065,35.14,7743453.0
2023-03-29 20:30:00,NASDAQ:KDP,35.28,35.34,35.16,35.29,6616274.0
2023-03-30 20:30:00,NASDAQ:KDP,35.2,35.26,35.045,35.13,8181103.0
2023-03-31 20:30:00,NASDAQ:KDP,35.41,35.415,35.17,35.28,11182884.0
2023-04-03 20:30:00,NASDAQ:KDP,35.33,35.53,35.18,35.39,8911627.0
2023-04-04 20:30:00,NASDAQ:KDP,35.42,35.45,35.24,35.36,6453976.0
2023-04-05 20:30:00,NASDAQ:KDP,35.5,35.89,35.355,35.4,12154079.0
2023-04-06 20:30:00,NASDAQ:KDP,35.43,35.89,35.43,35.64,8511689.0
2023-04-10 20:30:00,NASDAQ:KDP,35.5,35.508,35.095,35.23,6801811.0
2023-04-11 20:30:00,NASDAQ:KDP,35.27,35.41,35.15,35.25,5616937.0
2023-04-12 20:30:00,NASDAQ:KDP,35.17,35.455,35.08,35.21,7503797.0
2023-04-13 20:30:00,NASDAQ:KDP,35.19,35.32,34.84,35.24,6089809.0
2023-04-14 20:30:00,NASDAQ:KDP,35.025,35.365,35.005,35.1,6577054.0
2023-04-17 20:30:00,NASDAQ:KDP,35.26,35.415,35.155,35.39,5871725.0
2023-04-18 20:30:00,NASDAQ:KDP,35.45,35.45,35.0,35.39,5223313.0
2023-04-19 20:30:00,NASDAQ:KDP,35.5,35.605,35.3125,35.35,5794602.0
2023-04-20 20:30:00,NASDAQ:KDP,35.37,35.65,35.22,35.53,5106349.0
2023-04-21 20:30:00,NASDAQ:KDP,35.68,35.745,35.25,35.31,7459847.0
2023-04-24 20:30:00,NASDAQ:KDP,35.4,35.61,35.29,35.36,7346013.0
2023-04-25 20:30:00,NASDAQ:KDP,35.29,35.99,35.26,35.89,10945949.0
2023-04-26 20:30:00,NASDAQ:KDP,35.54,35.8,35.49,35.5,8548838.0
2023-04-27 20:30:00,NASDAQ:KDP,34.63,34.65,32.93,33.54,17056869.0
2023-04-28 20:30:00,NASDAQ:KDP,33.45,33.6,32.29,32.7,19267071.0
2023-05-01 20:30:00,NASDAQ:KDP,32.66,32.97,32.53,32.57,9019032.0
2023-05-02 20:30:00,NASDAQ:KDP,32.4004,32.54,31.9,32.54,12960354.0
2023-05-03 20:30:00,NASDAQ:KDP,32.41,33.09,32.23,32.79,13047891.0
2023-05-04 20:30:00,NASDAQ:KDP,32.7,32.88,32.33,32.49,9702233.0
2023-05-05 20:30:00,NASDAQ:KDP,32.65,33.31,32.6,33.23,11869791.0
2023-05-08 20:30:00,NASDAQ:KDP,33.18,33.23,32.77,32.85,7797699.0
