datetime,symbol,open,high,low,close,volume
2023-01-03 21:30:00,NASDAQ:PLTR,6.58,6.64,6.275,6.39,29969947.0
2023-01-04 21:30:00,NASDAQ:PLTR,6.48,6.675,6.37,6.58,31660509.0
2023-01-05 21:30:00,NASDAQ:PLTR,6.45,6.49,6.25,6.32,34185994.0
2023-01-06 21:30:00,NASDAQ:PLTR,6.4,6.4499,6.09,6.4,30596404.0
2023-01-09 21:30:00,NASDAQ:PLTR,6.49,6.67,6.4,6.5,31028876.0
2023-01-10 21:30:00,NASDAQ:PLTR,6.5,6.72,6.49,6.7,28236577.0
2023-01-11 21:30:00,NASDAQ:PLTR,6.84,6.99,6.76,6.98,25936693.0
2023-01-12 21:30:00,NASDAQ:PLTR,7.01,7.05,6.78,7.01,30152469.0
2023-01-13 21:30:00,NASDAQ:PLTR,6.84,7.01,6.81,6.96,20981000.0
2023-01-17 21:30:00,NASDAQ:PLTR,6.99,7.15,6.73,7.07,30910341.0
2023-01-18 21:30:00,NASDAQ:PLTR,7.155,7.3,6.88,6.9,32743429.0
2023-01-19 21:30:00,NASDAQ:PLTR,6.8,6.895,6.67,6.73,24841655.0
2023-01-20 21:30:00,NASDAQ:PLTR,6.76,7.06,6.72,7.02,28751729.0
2023-01-23 21:30:00,NASDAQ:PLTR,7.03,7.41,6.991,7.38,31633292.0
2023-01-24 21:30:00,NASDAQ:PLTR,7.0,7.42,7.0,7.02,22649458.0
2023-01-25 21:30:00,NASDAQ:PLTR,6.92,7.27,6.69,7.22,37147944.0
2023-01-26 21:30:00,NASDAQ:PLTR,7.37,7.45,7.04,7.24,28005624.0
2023-01-27 21:30:00,NASDAQ:PLTR,7.19,7.73,7.14,7.55,37555172.0
2023-01-30 21:30:00,NASDAQ:PLTR,7.5,7.61,7.36,7.37,28567795.0
2023-01-31 21:30:00,NASDAQ:PLTR,7.41,7.82,7.38,7.78,40984037.0
2023-02-01 21:30:00,NASDAQ:PLTR,7.73,8.22,7.6803,8.2,50123739.0
2023-02-02 21:30:00,NASDAQ:PLTR,8.51,9.21,8.47,8.99,71889705.0
2023-02-03 21:30:00,NASDAQ:PLTR,8.54,8.9,8.3732,8.41,64785463.0
