date,EMA Alignment,ROE,PE,Y
31/1/2023,0,34.49718,18.80361,-0.010892841
28/2/2023,1,34.49718,18.59879,0.001411898
31/3/2023,0,29.70918,20.77767,0.085346367
30/4/2023,1,29.70918,22.55097,-0.043820906
31/5/2023,0,29.70918,21.56277,0.04510461
30/6/2023,0,7.593732,95.01812,-0.075743132
31/7/2023,0,7.593732,87.82115,0.021847164
31/8/2023,0,7.593732,89.73979,-0.055331253
30/9/2023,0,10.75329,57.18491,-0.002428363
31/10/2023,0,10.75329,57.04605,-0.002142162
30/11/2023,0,10.75329,56.92385,0.06381733
31/12/2023,1,0.873498,824.6596,0.107870116
31/1/2024,1,0.873498,913.6157,0.05274052
29/2/2024,1,0.873498,961.8003,0.037750688
31/3/2024,1,5.289112,146.8886,-0.020689655
30/4/2024,1,5.289112,143.8495,-0.028478564
31/5/2024,0,5.289112,139.7529,-0.013860124
30/6/2024,1,33.39046,22.94377,-0.086187399
31/7/2024,0,33.39046,20.96631,0.047025546
31/8/2024,0,33.39046,21.95226,-0.041283242
30/9/2024,0,28.33419,23.78469,-0.098978514
31/10/2024,0,28.33419,21.43052,-0.006645817
30/11/2024,0,28.33419,21.28809,-0.021251476
31/12/2024,0,40.80626,14.77301,-0.006634499
31/1/2025,0,40.80626,14.675,-0.066484517
28/2/2025,0,40.80626,13.69934,0.019186992
