datetime,symbol,open,high,low,close,volume
2023-01-03 21:30:00,NYSE:UNH,525.13,525.63,512.1601,518.64,3525627.0
2023-01-04 21:30:00,NYSE:UNH,518.64,518.64,500.6,504.5,5070439.0
2023-01-05 21:30:00,NYSE:UNH,501.01,502.09,488.5,489.96,5497123.0
2023-01-06 21:30:00,NYSE:UNH,491.59,492.87,487.5401,490.0,4841278.0
2023-01-09 21:30:00,NYSE:UNH,492.41,499.99,488.54,490.06,3702782.0
2023-01-10 21:30:00,NYSE:UNH,488.85,490.47,482.68,486.0,3164038.0
2023-01-11 21:30:00,NYSE:UNH,485.29,495.6,485.0,493.4,4274212.0
2023-01-12 21:30:00,NYSE:UNH,490.0,498.73,485.22,495.67,3726800.0
2023-01-13 21:30:00,NYSE:UNH,486.11,509.5,486.0,489.57,5390067.0
2023-01-17 21:30:00,NYSE:UNH,491.2,492.94,483.78,485.08,4495565.0
2023-01-18 21:30:00,NYSE:UNH,488.05,489.5,474.75,476.24,4398196.0
2023-01-19 21:30:00,NYSE:UNH,477.87,486.39,477.3882,484.36,4549554.0
2023-01-20 21:30:00,NYSE:UNH,485.53,486.99,479.0,486.72,3525905.0
2023-01-23 21:30:00,NYSE:UNH,486.68,490.1,481.39,485.81,3418670.0
2023-01-24 21:30:00,NYSE:UNH,485.36,491.97,483.01,491.6,3036295.0
2023-01-25 21:30:00,NYSE:UNH,489.28,495.36,485.73,492.5,3037315.0
2023-01-26 21:30:00,NYSE:UNH,492.5,496.45,490.5801,492.48,3004962.0
2023-01-27 21:30:00,NYSE:UNH,493.37,493.37,484.47,486.05,3177132.0
2023-01-30 21:30:00,NYSE:UNH,487.81,495.25,484.8,485.79,3606855.0
2023-01-31 21:30:00,NYSE:UNH,498.0,505.5,493.13,499.19,5567038.0
2023-02-01 21:30:00,NYSE:UNH,499.95,504.38,495.67,497.0,3451202.0
2023-02-02 21:30:00,NYSE:UNH,494.26,495.0,463.89,470.83,11169877.0
2023-02-03 21:30:00,NYSE:UNH,475.23,478.78,469.75,472.02,5440070.0
2023-02-06 21:30:00,NYSE:UNH,472.0,478.965,471.01,475.24,4174173.0
2023-02-07 21:30:00,NYSE:UNH,471.04,478.08,469.0301,476.88,3394630.0
2023-02-08 21:30:00,NYSE:UNH,475.47,485.035,475.11,483.22,3466399.0
